番号,49,
名前,薬袋 玄,
呼び名,薬屋店主(学前),
基礎,0,2500
基礎,1,2500
基礎,2,10000
基礎,5,1500
基礎,10,1500
基礎,11,1000
基礎,12,1000
基礎,15,10000
基礎,16,1000
基礎,19,1000
基礎,20,1000
基礎,21,1000
基礎,31,1750
基礎,32,680
基礎,33,910
基礎,34,780
基礎,35,910
素質,1,0;童貞
素質,2,2;男性
素質,即落ち
素質,回復速度,1;回復早い
素質,名無し
能力,0,3;Ｃ感覚
能力,2,3;Ａ感覚
能力,3,3;Ｂ感覚
能力,10,3;従順
能力,11,3;欲望
能力,技巧,2
能力,13,2;奉仕精神
能力,41,2;話術技能
フラグ,タイプ,7
フラグ,開始位置,10
フラグ,開始地区,2
フラグ,親モラル,1000
フラグ,常００地区,2
フラグ,常０１地区,2
フラグ,常０２地区,2
フラグ,常０３地区,2
フラグ,常０４地区,2
フラグ,常０５地区,2
フラグ,常０６地区,2
フラグ,常０７地区,2
フラグ,常０８地区,2
フラグ,常０９地区,2
フラグ,常１０地区,2
フラグ,常１１地区,2
フラグ,常１２地区,2
フラグ,常１３地区,2
フラグ,常１４地区,2
フラグ,常１５地区,2
フラグ,常１６地区,2
フラグ,常１７地区,2
フラグ,常１８地区,2
フラグ,常１９地区,2
フラグ,常２０地区,2
フラグ,常２１地区,2
フラグ,常２２地区,2
フラグ,常２３地区,2
フラグ,常００位置,10
フラグ,常０１位置,10
フラグ,常０２位置,10
フラグ,常０３位置,10
フラグ,常０４位置,10
フラグ,常０５位置,10
フラグ,常０６位置,10
フラグ,常０７位置,10
フラグ,常０８位置,10
フラグ,常０９位置,10
フラグ,常１０位置,10
フラグ,常１１位置,10
フラグ,常１２位置,10
フラグ,常１３位置,10
フラグ,常１４位置,10
フラグ,常１５位置,10
フラグ,常１６位置,10
フラグ,常１７位置,10
フラグ,常１８位置,10
フラグ,常１９位置,10
フラグ,常２０位置,10
フラグ,常２１位置,10
フラグ,常２２位置,10
フラグ,常２３位置,10
フラグ,常００モラル,1000
フラグ,常０１モラル,1000
フラグ,常０２モラル,1000
フラグ,常０３モラル,1000
フラグ,常０４モラル,1000
フラグ,常０５モラル,1000
フラグ,常０６モラル,1000
フラグ,常０７モラル,1000
フラグ,常０８モラル,1000
フラグ,常０９モラル,1000
フラグ,常１０モラル,1000
フラグ,常１１モラル,1000
フラグ,常１２モラル,1000
フラグ,常１３モラル,1000
フラグ,常１４モラル,1000
フラグ,常１５モラル,1000
フラグ,常１６モラル,1000
フラグ,常１７モラル,1000
フラグ,常１８モラル,1000
フラグ,常１９モラル,1000
フラグ,常２０モラル,1000
フラグ,常２１モラル,1000
フラグ,常２２モラル,1000
フラグ,常２３モラル,1000
