0,攻め受け
1,今回行動
2,前回行動
3,今回被行動
4,前回被行動
5,行為対象
15,破瓜
16,破瓜抑制
17,待機時間
18,目的地区
19,目的位置
20,乗車
21,イベント
22,イベント変数
23,衰弱
25,同室
26,会話累積値
28,睡眠
29,挿入,;(1,膣2,アナル)
30,同行
31,防御
32,無抵抗

35,被挿入,;（1,膣）処女喪失判定
36,キス中
37,現在体位,;H中に実行した体位コマンドID(TRAINNAMEで名称表示)
38,口淫中,;口でペニスを扱う行為(フェラ系)の最中。射精時に精飲経験を入れるためのターン限りフラグ。@SOURCE_RESETでクリア








60,表示カット
106,快楽強度
107,イきそう
115,勃起判定
120,体勢
121,体勢制御
122,位置関係
123,位置関係制御

150,到着地区
151,到着位置
152,到着時間

390,肉欲
391,愛情
392,服従
393,好意
394,憧れ
400,Ｃ経験
401,Ｖ経験
402,Ａ経験
403,Ｂ経験
406,Ｃ絶頂経験
407,Ｖ絶頂経験
408,Ａ絶頂経験
409,Ｂ絶頂経験

;絶頂経験
410,絶頂経験
411,射精経験
412,噴乳経験
413,放尿経験
414,精液経験
415,精飲経験

;行動経験
420,Ｖ性交経験
421,Ａ性交経験
422,自慰経験
423,調教自慰経験
424,手淫経験
425,口淫経験
426,パイズリ経験
427,キス経験
428,道具使用経験

;精神経験
440,奉仕快楽経験
441,愛情経験
442,苦痛快楽経験
443,嗜虐快楽経験

;調教経験
450,調教経験
451,レズ経験
452,ゲイ経験
453,異常経験
454,Ｖ拡張経験
455,Ａ拡張経験
456,緊縛経験

;その他
470,清掃経験
471,会話経験
472,撮影経験
473,被写経験
474,戦闘経験
;※400〜499はSOURCE_CHECK_2がEXP:0〜99のスナップショットで毎回上書きする予約領域(経験値取得表示用)。
;　汎用フラグをこの範囲に置いてはいけない(過去に475/476を置いて上書きされるバグがあった)

500,お金

601,Pずらし;痴漢の際にPをずらす行為でオン、これが立つと挿入可能
;610:NPC行為抽選で前回選択した行為番号。連続重複回避に使用
610,前回N行為
;611:NPC自律行動中の噴乳ログ抑制用。最後に噴乳ログを表示した絶対時刻(DAY*1440+TIME)
611,噴乳表示時刻

;620番台:恋愛・デート・ホテル関連(2026-07-16追加)。BEGIN TRAIN(毎朝)で自動クリア=当日限りフラグ
;620:MASTER側=デート相手の登録番号/相手側=MASTERの登録番号。0=非デート
620,デート中
;621:デートスポットイベント発火済みビットフィールド(SETBIT 場所番号)。1スポット1日1回
621,デート済場所
;622:MASTERのみ。1=当日のラブホテル休憩料金支払済(入浴可・宿泊無料)
622,ホテル利用権
;623:相手キャラ側に立てる。1=今日すでに告白/被告白イベント済(連打防止)
623,告白済
;624:デート中に発火したスポットイベント数。デート終了時の愛情評価に使用
624,デート満足度

;625:妊娠中リスクの保留強度(%)。行動(XCOM/射精処理)で@妊娠中リスク予約が最大値を記録し、
;　行動描写(COM_MESSAGE)後にSOURCE_CHECKS末尾の@妊娠中リスク保留実行が消化する(PREGNANCY.ERB)
625,妊娠リスク保留

