;性別系列
0,処女,;(1= 処女 2=再生処女）
1,童貞,;(0= 童貞 ビット0膣性交経験済み ビット1アナル性交経験済み)(0=童貞、1=膣に挿入あり、2=アナルに挿入あり、3=膣アナルに挿入あり)
2,性別,;(ビット0=女性器 1=男性器)(0=両性器無し、1=女性、2=男性、 3=ふたなり)

;陥落素質系列
3,恋慕,;愛情に似た感情を抱いている状態。=2で上位互換
4,淫乱,;色欲に乱れきった状態。=2で上位互換
5,服従
6,恋人
7,ナンパ
8,痴漢
;9,崩壊,;未実装のため無効化 ;精神に異常をきたした状態

;性格
10,度胸,
	; -1=臆病,;ABL:従順が上げやすい。PALAM:反感が上がりにくい 
	;1=気丈,;コマンドを実行しにくい。売却の際に従順4以上必要
11,態度,
	;-1=素直,;コマンドを実行しやすい。PALAM:恭順が上がりやすい 
	;1=反抗的,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:恭順と欲情が上がりにくい
12,応答,
	;-1=大人しい,;PALAM:反感が上がりにくい 
	;1=生意気,;ABL:従順と奉仕精神が上げにくい。
13,プライド,
	;-1=プライド低い,;コマンドを実行しやすい。PALAM:屈服が上がりやすい 
	;1=プライド高い,;コマンドを実行しにくい。PALAM:屈服が上がりにくい
14,ツンデレ,;コマンドが実行しにくいが、従順Lv4以上で反転

;性への関心
20,自制心,;売却の際に欲望4以上必要。屈服、快楽系PALAMが上がりにくく、反発が上がりやすい
21,無関心,:PALAM:恭順、欲情、屈服、恐怖、反感が上がりにくい
22,感情乏しい,:PALAMが全体的に上がりにくい
23,性的興味,
	;-1=保守的,;コマンドを実行しにくい。PALAM:習得が上がりにくい 
	;1=好奇心,:コマンドを実行しやすい。PALAM:習得が上がりやすい 
24,陽気／陰気,
	;-1=陰気,PALAM:抑鬱が上がりやすい 
	;1=陽気,PALAM:抑鬱が上がりにくい
25,一線越えない,;全てのABLが上げにくく、恭順が上がりにくいが、陥落後は反転する。
26,目立ちたがり,;コマンドを実行しやすい。PALAM:露出が上げやすい

;乙女心
30,貞操,
	;-1=貞操無頓着,;情愛系調教の効果が低い。PALAM:反感が上がりにくい 
	;1=貞操観念,情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,自己愛,
	;-1=抑圧コマンドを実行しにくい。PALAM:抑欝、反発が上がりやすく、欲情が上がりにくい。欲望Lv3以上で消滅 
	;1=解放,;ABL:マゾっ気が上げやすい。PALAM:欲情と屈服が上がりやすい
32,抵抗,;コマンドを実行しにくい。PALAM:抑欝、反発が上がりやすく、恭順が上がりにくい。従順Lv3以上で消滅
33,羞恥心,
	;-1=恥薄い,;露出系調教の効果が低い 
	;1=恥じらい,コマンドを実行しにくい。露出系調教の効果が高い
34,弱味,;コマンドを実行しやすい

;体質
40,痛覚,
	;-1=痛みに強い,;PALAM:苦痛と反感が上がりにくい 
	;1=痛みに弱い,PALAM:苦痛と反感が上がりやすい
41,濡れやすさ,
	;-1=濡れにくい 1=濡れやすい

;技術
50,習得速度,; -1=習得遅い 1=習得早い
51,器用な指
52,舌使い,;フェラ系調教の効果が高くなる
53,針さばき,;針を用いるコマンドの効果が高くなる
;54,猫舌,;フェラ系調教に制限が課され、効果が変化する
55,調合知識,;特殊なアイテムを購入できる。コマンド「媚薬」の体力と気力の消費が少ない
;56,薬毒耐性,;未実装のため無効化 ;媚薬、利尿剤などの薬を使うコマンドが実行不可、コマンド以外のものは可能
57,おもらし癖,;放尿コマンドが常に使えるようになる。絶頂時に放尿。

;潔癖度
60,自慰しやすい,;自慰関連が実行しやすい。ABL:自慰中毒が上げやすい
61,汚臭耐性,;-2=潔癖症 -1=汚臭敏感 1=汚臭鈍感 2=汚れ無視
62,献身的,;奉仕系調教を実行しやすい。ABL:奉仕精神が上げやすい。PALAM:屈服が上がりやすい

;正直度
70,快感応答
	; -1=快感の否定,;コマンドを実行しにくい。PALAM:欲情が上がりにくい
	; 1=快感に素直,;コマンドを実行しやすい。ABL:欲望と奉仕精神が上げやすい。PALAM:欲情が上がりやすい

71,中毒しやすい,;中毒系のABLが上げやすい
72,即落ち,;コマンドを実行しやすい。調教時にABLが上がる事がある
73,自慰狂い,;Ｃ系コマンド及び自慰系コマンドの効果アップ
74,淫壺,;Ｖ系コマンドの効果アップ
75,尻穴狂い,;Ａ系コマンドの効果アップ
76,淫乳,;Ｂ系コマンドの効果アップ

;性愛性
80,倒錯的,;SM系調教の効果が高い。マゾ系、中毒系のABLが上がりやすい
81,性別嗜好
	;-1=両刀,;レズ調教を実行しやすい。ABL:レズ、レズ中毒が上げやすい
	;1= 男嫌い
	;2=女嫌い
	;3=人間不信
82,サド,;調教者の時にコマンドを実行しやすい。ABL:奉仕精神が上げにくい
83,マゾ,;コマンドを実行しやすい。マゾ系のABLがあがりやすい
;84,嫉妬,;未実装のため無効化 ;(現在では実装されていない)
85,妄信,;コマンドを実行しやすい。PALAM:屈服が上がりやすい
86,小悪魔,;調教者の時にコマンドを実行しやすい

;魅了
;90,狐,;助手化の際に妖狐になる
;91,妖狐,;調教者の時にPALAM:恥情が上がりやすい。助手時に「媚薬」が手に入る事がある
92,魅力,;売却額・報酬増加
93,魅惑,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
94,謎の魅力,;売却額・報酬増加、調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい

;身体特徴
100,体型,
	;-3=小人,
	;-2=幼児体型,
	;-1=小柄体型,PALAM:苦痛、恐怖が上がりやすい 
	;1=長身 2=巨躯 3=巨人 未実装
101,Ｃ感度,;-1=鈍感 1=敏感
102,Ｖ感度,
103,Ａ感度,
104,Ｂ感度,
105,バストサイズ,-2=絶壁 -1 = 貧乳 0=並乳 1=巨乳 2=爆乳

;特殊
130,回復速度,;-1=回復遅い,;体力回復量が少なくなる 1=回復早い,体力回復量が多くなる

;132,吸血鬼,;夜休憩時体力回復量上昇、昼間は野外に出られない
;133,日光浴,;昼休憩時体力回復量上昇
;134,月光浴,;夜休憩時体力回復量上昇
;135,治療,;未実装のため無効化 ;助手の時に体力回復量上昇
136,鼓舞,;助手の時にコマンドを実行しやすい。助手の時に調教終了後の自慰回数増加

;138,不思議な根,;助手化の際にふたなりになる

;141,狂気,;未実装のため無効化 ;売却額・報酬が低下する

;143,動物耳,;売却額・報酬増加、一部調教にペナルティ
;144,禁断の知識,;未実装のため無効化 ;特殊なアイテムの購入やコマンドの実行ができる
145,人気,;売却額・報酬増加
;146,具現,;未実装のため無効化 ;助手化の際にふたなりになる


149,母乳体質,;噴乳するようになる
150,幼児／幼児退行,;調教者の時に相手を母乳体質にする。胸関連の調教の効果が高い
151,幼稚,;調教者の時に胸関連の調教の効果が高くなる
152,絶倫,;射精が早くなる、一日の最大射精可能数が増える
153,妊娠,;子供を身ごもってる
154,育児中,;子供を育てている最中
155,母性,;子を産んだ母の愛。一部労役の報酬が上がる
156,酒豪,;酔いにくく、酔いが早く抜ける
