1,危険度
2,引越し
3,タイマー
4,痴漢され中
5,お弁当
6,痴漢付与フラグ
;0 = [痴漢]持ちのみ（デフォルト）
;1 = 全員
;2 = 異性のみ
;3 = 同性のみ
;12 = 異性かつ素質[痴漢]持ちのみ
;13 = 同性かつ素質[痴漢]持ちのみ
51,就寝地区
52,就寝位置
53,サイドタブ
54,マップ表示モード,;【廃止】旧・地図/文字トグル（現在は地図＋凡例の同時表示。定義はセーブ互換のため残置）
55,サイドタブ自動切替中,;1=会話/Hイベント開始時に相手タブへ自動切替済み（終了時に元へ戻すためのフラグ）
56,サイドタブ退避,;自動切替前のFLAG:サイドタブの値

;--- 妊娠システムの設定（設定画面で変更・セーブに保存） ---
60,妊娠機能,;0=OFF 1=ON。OFFの間は新規受精しない
61,妊娠確率倍率,;受精確率の倍率(%)。標準100
62,妊娠期間倍率,;出産予定日数の倍率(%)。標準100
63,多胎率,;多胎の基礎確率(%)。標準3
64,三つ子率,;多胎時に三つ子となる確率(%)。標準10
65,妊娠設定済,;1=既定値を投入済み（初期化ガード）
66,確実妊娠,;1=膣内射精で必ず受精（周期・確率判定を無視）。標準0
67,産後回復日数,;出産後に妊娠しない回復期の日数。標準30
68,流産率,;切迫流産度の上がりやすさ倍率(%)。標準100・0で流産しない
69,早産率,;早産(臨月前の陣痛誘発)確率の倍率(%)。標準100・0で早産しない
73,早期破水率,;破水が陣痛に先行する(前期破水)確率(%)。標準40・0で常に陣痛先行・100で常に前期破水
74,陣痛時間倍率,;陣痛開始から分娩までの長さ倍率(%)。標準100・大きいほど長い・最小25最大400

;--- 病気システムの設定（設定画面で変更・セーブに保存） ---
75,病気機能,;0=OFF 1=ON。OFFの間は発症・感染しない（OFF化時に全員治癒）
76,風邪発症率倍率,;風邪の発症・伝播確率の倍率(%)。標準100
77,性病感染率倍率,;性病の感染確率の倍率(%)。標準100・0で感染しない
78,病気設定済,;1=既定値を投入済み（初期化ガード）

;--- 流産で気絶し病院へ搬送された状態 ---
79,流産後入院,;1=流産で搬送され翌朝病院で目覚める（EVENTTRAINで目覚めメッセージを出して0に）

;--- 営業時間システム（営業時間.ERB） ---
80,営業時間店主配置済,;1=店主(Chara042〜058)の定位置を各自の店へ移行済み（@EVENTLOADの旧セーブ救済ガード）

;--- きょうだい削除（兄弟姉妹削除移行.ERB） ---
81,兄弟姉妹削除済,;1=旧セーブから兄(014)姉(015)弟(012)妹(013)をDELCHARA済み（@EVENTLOADの旧セーブ救済ガード）

;--- 警察・犯罪システム（警察署.ERB） ---
82,容疑,;人目のある場所での痴漢・暴行で溜まる。高いほど職務質問で捕まりやすい。毎朝少し減る
83,前科,;有罪となった回数。累積で罰金が重くなり、就職の面接にも響く
84,留置中,;1=逮捕され翌朝まで留置場（EVENTTRAINで目覚めメッセージを出して0に。流産後入院79と同型）

;--- メイン画面のコマンド履歴（新しい順にTRAIN番号を保持。0=空） ---
70,コマンド履歴1
71,コマンド履歴2
72,コマンド履歴3

;口上ヘルパ用（TSTRに溜めた候補数のカウンタ）
9990,口上候補数

;--- 縄張り（縄張り.ERB。全場所×全キャラの走査になるので1日1回だけ計算して持つ）---
85,縄張り集計日
86,縄張り数
87,全エリア数
